类目,类目链接,型号,描述
手机,http://detail.zol.com.cn/cell_phone_index/subcate57_list_1.html,华为P10（VTR-AL00/全网通） 金属钻雕工艺，一体化前置指纹，徕卡镜头，金融级安全芯片,金属钻雕工艺，一体化前置指纹，徕卡镜头，金融级安全芯片
手机,http://detail.zol.com.cn/cell_phone_index/subcate57_list_1.html,三星GALAXY S9+（全网通） 虹膜识别，面部识别，无线快充，Bixby人工智能实时翻译,虹膜识别，面部识别，无线快充，Bixby人工智能实时翻译
手机,http://detail.zol.com.cn/cell_phone_index/subcate57_list_1.html,OPPO R15梦镜版（陶瓷黑/梦境紫/全网通） 19:9超视野全面屏，双面玻璃设计，AI 智能拍照,19:9超视野全面屏，双面玻璃设计，AI 智能拍照
手机,http://detail.zol.com.cn/cell_phone_index/subcate57_list_1.html,荣耀V10（4GB RAM/全网通） 荣耀Hi-Five，指纹识别，人脸识别，AI自拍,荣耀Hi-Five，指纹识别，人脸识别，AI自拍
手机,http://detail.zol.com.cn/cell_phone_index/subcate57_list_1.html,小米6X（4GB RAM/全网通） 前置2000万“治愈系”自拍，AI人脸解锁，标配骁龙660 AIE处理器,前置2000万“治愈系”自拍，AI人脸解锁，标配骁龙660 AIE处理器
手机,http://detail.zol.com.cn/cell_phone_index/subcate57_list_1.html,华为Mate RS保时捷版（全网通） 航空材质，屏幕指纹识别，保时捷设计，四摄像头,航空材质，屏幕指纹识别，保时捷设计，四摄像头
手机,http://detail.zol.com.cn/cell_phone_index/subcate57_list_1.html,OPPO A3（全网通） 128G大内存，钻石纹理设计，超视野全面屏,128G大内存，钻石纹理设计，超视野全面屏
手机,http://detail.zol.com.cn/cell_phone_index/subcate57_list_1.html,小米8（全网通） AI场景相机，L1+L5双频双路定位，红外人脸识别，AI 超感光双摄,AI场景相机，L1+L5双频双路定位，红外人脸识别，AI 超感光双摄
手机,http://detail.zol.com.cn/cell_phone_index/subcate57_list_1.html,苹果iPhone 7 Plus（全网通） 后置双摄像头，多语言文字同时显示，4K视频摄录，Siri语音,后置双摄像头，多语言文字同时显示，4K视频摄录，Siri语音
手机,http://detail.zol.com.cn/cell_phone_index/subcate57_list_1.html,vivo Y85（全网通） 全面屏一体式外观，后置双摄，人像模式，前置AI美颜,全面屏一体式外观，后置双摄，人像模式，前置AI美颜
手机,http://detail.zol.com.cn/cell_phone_index/subcate57_list_1.html,vivo Y71（全网通） 18:9全面屏幕，面部识别，AI美颜拍照,18:9全面屏幕，面部识别，AI美颜拍照
手机,http://detail.zol.com.cn/cell_phone_index/subcate57_list_1.html,苹果iPhone SE 2（全网通） 主屏尺寸:4英寸 主屏材质:OLED 4G网络:移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE 其他屏幕参数:全面屏 CPU型号:苹果 A10 ROM容量:32GB/128GB 闪光灯:LED补光灯,主屏尺寸:4英寸 主屏材质:OLED 4G网络:移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE 其他屏幕参数:全面屏 CPU型号:苹果 A10 ROM容量:32GB/128GB 闪光灯:LED补光灯
手机,http://detail.zol.com.cn/cell_phone_index/subcate57_list_1.html,黑鲨游戏手机（6GB RAM/全网通） 液冷散热，一键游戏模式，交互体验,液冷散热，一键游戏模式，交互体验
手机,http://detail.zol.com.cn/cell_phone_index/subcate57_list_1.html,三星GALAXY S8（G9500/双卡版/全网通） 全视曲面屏，Bixby智能助手，虹膜识别，面部识别,全视曲面屏，Bixby智能助手，虹膜识别，面部识别
手机,http://detail.zol.com.cn/cell_phone_index/subcate57_list_1.html,OPPO R9s（全网通） 微缝天线，固态指纹按钮，VOOC闪充，双核对焦,微缝天线，固态指纹按钮，VOOC闪充，双核对焦
手机,http://detail.zol.com.cn/cell_phone_index/subcate57_list_1.html,小米6（6GB RAM/全网通） 玻璃机身，双摄手机，指纹识别，骁龙处理器,玻璃机身，双摄手机，指纹识别，骁龙处理器
手机,http://detail.zol.com.cn/cell_phone_index/subcate57_list_1.html,华为Mate 10（4GB RAM/全网通） 支持4.5G LTE，支持PC模式，麒麟970 AI处理器，指纹识别,支持4.5G LTE，支持PC模式，麒麟970 AI处理器，指纹识别
手机,http://detail.zol.com.cn/cell_phone_index/subcate57_list_1.html,vivo X20（全网通） 全面屏体验，逆光也清晰，面部识别解锁，AI人工智能,全面屏体验，逆光也清晰，面部识别解锁，AI人工智能
手机,http://detail.zol.com.cn/cell_phone_index/subcate57_list_1.html,小米7（全网通） 主屏尺寸:5.65英寸 主屏材质:AMOLED 4G网络:移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE 其他屏幕参数:全面屏，阳光屏，夜光屏，护眼模式，色温调节，标准模式 CPU型号:高通 骁龙845 RAM容量:6GB 后置摄像头:双1600万像素,主屏尺寸:5.65英寸 主屏材质:AMOLED 4G网络:移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE 其他屏幕参数:全面屏，阳光屏，夜光屏，护眼模式，色温调节，标准模式 CPU型号:高通 骁龙845 RAM容量:6GB 后置摄像头:双1600万像素
手机,http://detail.zol.com.cn/cell_phone_index/subcate57_list_1.html,苹果iPhone 6S Plus（全网通） 3D Touch，航空铝镁合金材料，支持NFC，Siri语音,3D Touch，航空铝镁合金材料，支持NFC，Siri语音
手机,http://detail.zol.com.cn/cell_phone_index/subcate57_list_1.html,一加6（6GB RAM/全网通） 后置双摄，Dash闪充，指纹识别，AI美拍,后置双摄，Dash闪充，指纹识别，AI美拍
手机,http://detail.zol.com.cn/cell_phone_index/subcate57_list_1.html,华为Mate 9（MHA-AL00/4GB RAM/全网通） 华为超级闪充技术，后置双摄，内置银行U盾，新文件系统F2FS,华为超级闪充技术，后置双摄，内置银行U盾，新文件系统F2FS
手机,http://detail.zol.com.cn/cell_phone_index/subcate57_list_1.html,OPPO A73（全网通） 18:9超清全面屏，面部识别，OPPO互传,18:9超清全面屏，面部识别，OPPO互传
手机,http://detail.zol.com.cn/cell_phone_index/subcate57_list_1.html,OPPO R11（标准版/全网通） 前后2000万像素摄像头，微缝天线2.0，VOOC闪充，WI-FI安全检测,前后2000万像素摄像头，微缝天线2.0，VOOC闪充，WI-FI安全检测
手机,http://detail.zol.com.cn/cell_phone_index/subcate57_list_1.html,OPPO R11s（4GB RAM/全网通） 全面屏一体全金属外观，超清双摄人像模式，VOOC闪充，指纹识别,全面屏一体全金属外观，超清双摄人像模式，VOOC闪充，指纹识别
手机,http://detail.zol.com.cn/cell_phone_index/subcate57_list_1.html,荣耀9（4GB RAM/全网通） 3D曲面极光玻璃，黑白+彩色双摄像头，情景智能，多屏互动,3D曲面极光玻璃，黑白+彩色双摄像头，情景智能，多屏互动
智能手机,http://detail.zol.com.cn/cell_phone_index/subcate57_list_s533_1.html,华为P20 Pro（全网通） 4000万徕卡三摄，AI摄影，异形全面屏,4000万徕卡三摄，AI摄影，异形全面屏
智能手机,http://detail.zol.com.cn/cell_phone_index/subcate57_list_s533_1.html,OPPO R15（6GB RAM/全网通） 19:9超视野全面屏，双面玻璃设计，AI 智能拍照,19:9超视野全面屏，双面玻璃设计，AI 智能拍照
智能手机,http://detail.zol.com.cn/cell_phone_index/subcate57_list_s533_1.html,vivo X21屏幕指纹版（全网通） 屏幕指纹解锁，人工智能 Jovi AI，新一代OLED全面屏，逆光人像,屏幕指纹解锁，人工智能 Jovi AI，新一代OLED全面屏，逆光人像
智能手机,http://detail.zol.com.cn/cell_phone_index/subcate57_list_s533_1.html,一加6（8GB RAM/全网通） 面部解锁，指纹识别，19:9全面屏，全面屏手势,面部解锁，指纹识别，19:9全面屏，全面屏手势
智能手机,http://detail.zol.com.cn/cell_phone_index/subcate57_list_s533_1.html,苹果iPhone X（全网通） 无线充电，面容ID，后置双摄，全面屏,无线充电，面容ID，后置双摄，全面屏
智能手机,http://detail.zol.com.cn/cell_phone_index/subcate57_list_s533_1.html,荣耀10（全网通） 变色极光玻璃，前置隐形湿手指纹解锁，2400万AI摄影,变色极光玻璃，前置隐形湿手指纹解锁，2400万AI摄影
智能手机,http://detail.zol.com.cn/cell_phone_index/subcate57_list_s533_1.html,华为P20（全网通） 玻璃机身，AI摄影，异形全面屏,玻璃机身，AI摄影，异形全面屏
智能手机,http://detail.zol.com.cn/cell_phone_index/subcate57_list_s533_1.html,联想S5（4GB RAM/全网通） 智慧双摄，面部识别，区块链手机,智慧双摄，面部识别，区块链手机
智能手机,http://detail.zol.com.cn/cell_phone_index/subcate57_list_s533_1.html,锤子科技坚果R1（6GB RAM/全网通） 人工智能引擎，旗舰处理器，18.7:9全面屏，指纹+人脸解锁,人工智能引擎，旗舰处理器，18.7:9全面屏，指纹+人脸解锁
智能手机,http://detail.zol.com.cn/cell_phone_index/subcate57_list_s533_1.html,小米MIX 2s（6GB RAM/全网通） AI超感光双摄，语音助理，4曲面陶瓷机身，无线充电,AI超感光双摄，语音助理，4曲面陶瓷机身，无线充电
智能手机,http://detail.zol.com.cn/cell_phone_index/subcate57_list_s533_1.html,vivo X21（全网通） 人工智能，Jovi AI，全面屏，逆光人像,人工智能，Jovi AI，全面屏，逆光人像
智能手机,http://detail.zol.com.cn/cell_phone_index/subcate57_list_s533_1.html,魅族15（全网通） mBack，mTouch，Flyme 7，全局式触觉反馈系统,mBack，mTouch，Flyme 7，全局式触觉反馈系统
智能手机,http://detail.zol.com.cn/cell_phone_index/subcate57_list_s533_1.html,苹果iPhone 8 Plus（全网通） 双面玻璃，无线充电，Portrait Lighting，后置双摄,双面玻璃，无线充电，Portrait Lighting，后置双摄
智能手机,http://detail.zol.com.cn/cell_phone_index/subcate57_list_s533_1.html,360 手机N7（全网通） 全面屏，游戏加速器2.0，安全键盘，后置智慧双摄,全面屏，游戏加速器2.0，安全键盘，后置智慧双摄
智能手机,http://detail.zol.com.cn/cell_phone_index/subcate57_list_s533_1.html,三星GALAXY S9（全网通） 虹膜识别，面部识别，无线快充，Bixby人工智能实时翻译,虹膜识别，面部识别，无线快充，Bixby人工智能实时翻译
智能手机,http://detail.zol.com.cn/cell_phone_index/subcate57_list_s533_1.html,诺基亚X6 2018（4GB RAM/全网通） 全面屏，指纹识别，AI面部识别，AI悬浮球,全面屏，指纹识别，AI面部识别，AI悬浮球
智能手机,http://detail.zol.com.cn/cell_phone_index/subcate57_list_s533_1.html,苹果iPhone 8（全网通） 双面玻璃，无线充电，AR游戏,双面玻璃，无线充电，AR游戏
智能手机,http://detail.zol.com.cn/cell_phone_index/subcate57_list_s533_1.html,苹果iPhone 7（全网通） 防水防尘，True Tone闪光灯，4K视频摄录，非按压式指纹识别,防水防尘，True Tone闪光灯，4K视频摄录，非按压式指纹识别
智能手机,http://detail.zol.com.cn/cell_phone_index/subcate57_list_s533_1.html,华为nova 3e（全网通） 人脸识别，19:9全面屏，游戏助手，智能语音助手,人脸识别，19:9全面屏，游戏助手，智能语音助手
智能手机,http://detail.zol.com.cn/cell_phone_index/subcate57_list_s533_1.html,华为P10（VTR-AL00/全网通） 金属钻雕工艺，一体化前置指纹，徕卡镜头，金融级安全芯片,金属钻雕工艺，一体化前置指纹，徕卡镜头，金融级安全芯片
智能手机,http://detail.zol.com.cn/cell_phone_index/subcate57_list_s533_1.html,三星GALAXY S9+（全网通） 虹膜识别，面部识别，无线快充，Bixby人工智能实时翻译,虹膜识别，面部识别，无线快充，Bixby人工智能实时翻译
智能手机,http://detail.zol.com.cn/cell_phone_index/subcate57_list_s533_1.html,OPPO R15梦镜版（陶瓷黑/梦境紫/全网通） 19:9超视野全面屏，双面玻璃设计，AI 智能拍照,19:9超视野全面屏，双面玻璃设计，AI 智能拍照
智能手机,http://detail.zol.com.cn/cell_phone_index/subcate57_list_s533_1.html,荣耀V10（4GB RAM/全网通） 荣耀Hi-Five，指纹识别，人脸识别，AI自拍,荣耀Hi-Five，指纹识别，人脸识别，AI自拍
智能手机,http://detail.zol.com.cn/cell_phone_index/subcate57_list_s533_1.html,小米6X（4GB RAM/全网通） 前置2000万“治愈系”自拍，AI人脸解锁，标配骁龙660 AIE处理器,前置2000万“治愈系”自拍，AI人脸解锁，标配骁龙660 AIE处理器
智能手机,http://detail.zol.com.cn/cell_phone_index/subcate57_list_s533_1.html,华为Mate RS保时捷版（全网通） 航空材质，屏幕指纹识别，保时捷设计，四摄像头,航空材质，屏幕指纹识别，保时捷设计，四摄像头
智能手机,http://detail.zol.com.cn/cell_phone_index/subcate57_list_s533_1.html,OPPO A3（全网通） 128G大内存，钻石纹理设计，超视野全面屏,128G大内存，钻石纹理设计，超视野全面屏
智能手机,http://detail.zol.com.cn/cell_phone_index/subcate57_list_s533_1.html,小米8（全网通） AI场景相机，L1+L5双频双路定位，红外人脸识别，AI 超感光双摄,AI场景相机，L1+L5双频双路定位，红外人脸识别，AI 超感光双摄
智能手机,http://detail.zol.com.cn/cell_phone_index/subcate57_list_s533_1.html,vivo Y85（全网通） 全面屏一体式外观，后置双摄，人像模式，前置AI美颜,全面屏一体式外观，后置双摄，人像模式，前置AI美颜
智能手机,http://detail.zol.com.cn/cell_phone_index/subcate57_list_s533_1.html,苹果iPhone 7 Plus（全网通） 后置双摄像头，多语言文字同时显示，4K视频摄录，Siri语音,后置双摄像头，多语言文字同时显示，4K视频摄录，Siri语音
智能手机,http://detail.zol.com.cn/cell_phone_index/subcate57_list_s533_1.html,vivo Y71（全网通） 18:9全面屏幕，面部识别，AI美颜拍照,18:9全面屏幕，面部识别，AI美颜拍照
智能手机,http://detail.zol.com.cn/cell_phone_index/subcate57_list_s533_1.html,苹果iPhone SE 2（全网通） 主屏尺寸:4英寸 主屏材质:OLED 4G网络:移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE 其他屏幕参数:全面屏 CPU型号:苹果 A10 ROM容量:32GB/128GB 闪光灯:LED补光灯,主屏尺寸:4英寸 主屏材质:OLED 4G网络:移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE 其他屏幕参数:全面屏 CPU型号:苹果 A10 ROM容量:32GB/128GB 闪光灯:LED补光灯
智能手机,http://detail.zol.com.cn/cell_phone_index/subcate57_list_s533_1.html,黑鲨游戏手机（6GB RAM/全网通） 液冷散热，一键游戏模式，交互体验,液冷散热，一键游戏模式，交互体验
智能手机,http://detail.zol.com.cn/cell_phone_index/subcate57_list_s533_1.html,三星GALAXY S8（G9500/双卡版/全网通） 全视曲面屏，Bixby智能助手，虹膜识别，面部识别,全视曲面屏，Bixby智能助手，虹膜识别，面部识别
智能手机,http://detail.zol.com.cn/cell_phone_index/subcate57_list_s533_1.html,OPPO R9s（全网通） 微缝天线，固态指纹按钮，VOOC闪充，双核对焦,微缝天线，固态指纹按钮，VOOC闪充，双核对焦
智能手机,http://detail.zol.com.cn/cell_phone_index/subcate57_list_s533_1.html,小米6（6GB RAM/全网通） 玻璃机身，双摄手机，指纹识别，骁龙处理器,玻璃机身，双摄手机，指纹识别，骁龙处理器
智能手机,http://detail.zol.com.cn/cell_phone_index/subcate57_list_s533_1.html,华为Mate 10（4GB RAM/全网通） 支持4.5G LTE，支持PC模式，麒麟970 AI处理器，指纹识别,支持4.5G LTE，支持PC模式，麒麟970 AI处理器，指纹识别
智能手机,http://detail.zol.com.cn/cell_phone_index/subcate57_list_s533_1.html,vivo X20（全网通） 全面屏体验，逆光也清晰，面部识别解锁，AI人工智能,全面屏体验，逆光也清晰，面部识别解锁，AI人工智能
智能手机,http://detail.zol.com.cn/cell_phone_index/subcate57_list_s533_1.html,小米7（全网通） 主屏尺寸:5.65英寸 主屏材质:AMOLED 4G网络:移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE 其他屏幕参数:全面屏，阳光屏，夜光屏，护眼模式，色温调节，标准模式 CPU型号:高通 骁龙845 RAM容量:6GB 后置摄像头:双1600万像素,主屏尺寸:5.65英寸 主屏材质:AMOLED 4G网络:移动TD-LTE，联通TD-LTE，联通FDD-LTE，电信TD-LTE，电信FDD-LTE 其他屏幕参数:全面屏，阳光屏，夜光屏，护眼模式，色温调节，标准模式 CPU型号:高通 骁龙845 RAM容量:6GB 后置摄像头:双1600万像素
智能手机,http://detail.zol.com.cn/cell_phone_index/subcate57_list_s533_1.html,苹果iPhone 6S Plus（全网通） 3D Touch，航空铝镁合金材料，支持NFC，Siri语音,3D Touch，航空铝镁合金材料，支持NFC，Siri语音
智能手机,http://detail.zol.com.cn/cell_phone_index/subcate57_list_s533_1.html,一加6（6GB RAM/全网通） 后置双摄，Dash闪充，指纹识别，AI美拍,后置双摄，Dash闪充，指纹识别，AI美拍
智能手机,http://detail.zol.com.cn/cell_phone_index/subcate57_list_s533_1.html,华为Mate 9（MHA-AL00/4GB RAM/全网通） 华为超级闪充技术，后置双摄，内置银行U盾，新文件系统F2FS,华为超级闪充技术，后置双摄，内置银行U盾，新文件系统F2FS
智能手机,http://detail.zol.com.cn/cell_phone_index/subcate57_list_s533_1.html,OPPO A73（全网通） 18:9超清全面屏，面部识别，OPPO互传,18:9超清全面屏，面部识别，OPPO互传
智能手机,http://detail.zol.com.cn/cell_phone_index/subcate57_list_s533_1.html,OPPO R11（标准版/全网通） 前后2000万像素摄像头，微缝天线2.0，VOOC闪充，WI-FI安全检测,前后2000万像素摄像头，微缝天线2.0，VOOC闪充，WI-FI安全检测
智能手机,http://detail.zol.com.cn/cell_phone_index/subcate57_list_s533_1.html,OPPO R11s（4GB RAM/全网通） 全面屏一体全金属外观，超清双摄人像模式，VOOC闪充，指纹识别,全面屏一体全金属外观，超清双摄人像模式，VOOC闪充，指纹识别
智能手机,http://detail.zol.com.cn/cell_phone_index/subcate57_list_s533_1.html,荣耀9（4GB RAM/全网通） 3D曲面极光玻璃，黑白+彩色双摄像头，情景智能，多屏互动,3D曲面极光玻璃，黑白+彩色双摄像头，情景智能，多屏互动
笔记本,http://detail.zol.com.cn/notebook_index/subcate16_list_1.html,联想 小新 潮7000-13系列 MX150 2G独显，背光键盘，酷睿8代处理器，窄边框屏幕,MX150 2G独显，背光键盘，酷睿8代处理器，窄边框屏幕
笔记本,http://detail.zol.com.cn/notebook_index/subcate16_list_1.html,苹果 MacBook Pro（Retina屏）15.4英寸系列 纤薄机身，高速闪存，长久续航，Retina显示屏,纤薄机身，高速闪存，长久续航，Retina显示屏
笔记本,http://detail.zol.com.cn/notebook_index/subcate16_list_1.html,神舟 战神 K650系列 178°广视角屏，孤岛式键盘，双显卡，单风扇散热,178°广视角屏，孤岛式键盘，双显卡，单风扇散热
笔记本,http://detail.zol.com.cn/notebook_index/subcate16_list_1.html,华硕 FX80系列 酷睿8代处理器，GTX 1050 Ti显卡，背光键盘，双风扇+双铜管散热,酷睿8代处理器，GTX 1050 Ti显卡，背光键盘，双风扇+双铜管散热
笔记本,http://detail.zol.com.cn/notebook_index/subcate16_list_1.html,戴尔 Inspiron 灵越 燃7000 II系列（7472） 酷睿8代处理器，MX150显卡，背光键盘，轻薄微边框,酷睿8代处理器，MX150显卡，背光键盘，轻薄微边框
笔记本,http://detail.zol.com.cn/notebook_index/subcate16_list_1.html,惠普 星 14系列 微边框屏幕，楔型边框设计，3D立体全金属键盘，长效续航,微边框屏幕，楔型边框设计，3D立体全金属键盘，长效续航
笔记本,http://detail.zol.com.cn/notebook_index/subcate16_list_1.html,微软 Surface Laptop系列 酷睿7代处理器，PixelSense触控屏，核心显卡，玻璃触控板,酷睿7代处理器，PixelSense触控屏，核心显卡，玻璃触控板
笔记本,http://detail.zol.com.cn/notebook_index/subcate16_list_1.html,联想 拯救者R720-15IKB系列 酷睿7代处理器，GTX10系显卡，专业设计游戏键盘，支持NVMe SSD,酷睿7代处理器，GTX10系显卡，专业设计游戏键盘，支持NVMe SSD
笔记本,http://detail.zol.com.cn/notebook_index/subcate16_list_1.html,HUAWEI MateBook X Pro系列 全面屏，轻薄时尚，高效便捷，金属机身,全面屏，轻薄时尚，高效便捷，金属机身
笔记本,http://detail.zol.com.cn/notebook_index/subcate16_list_1.html,联想 G50-80系列 酷睿5代处理器，高触感巧克力键盘，环绕立体声，入门级显卡,酷睿5代处理器，高触感巧克力键盘，环绕立体声，入门级显卡
笔记本,http://detail.zol.com.cn/notebook_index/subcate16_list_1.html,联想 YOGA 3 Pro系列 3K超高清触控屏，360翻转，Harmony智能模块，WAVES AUDIO认证,3K超高清触控屏，360翻转，Harmony智能模块，WAVES AUDIO认证
笔记本,http://detail.zol.com.cn/notebook_index/subcate16_list_1.html,苹果 MacBook Air 13.3英寸（Broadwell）系列 强劲性能，Flash高速闪存，超长续航，金属轻薄机身,强劲性能，Flash高速闪存，超长续航，金属轻薄机身
笔记本,http://detail.zol.com.cn/notebook_index/subcate16_list_1.html,联想 小新 潮7000系列 1小时充电80%，背光键盘，窄边框，双硬盘轻薄本,1小时充电80%，背光键盘，窄边框，双硬盘轻薄本
笔记本,http://detail.zol.com.cn/notebook_index/subcate16_list_1.html,苹果 MacBook 12英寸系列 金属轻薄机身，高清视网膜屏，USB-C充电接口，阶梯式电池设计,金属轻薄机身，高清视网膜屏，USB-C充电接口，阶梯式电池设计
笔记本,http://detail.zol.com.cn/notebook_index/subcate16_list_1.html,荣耀 MagicBook系列 酷睿8代处理器，5.2mm窄边框，MX150显卡，指纹识别电源键,酷睿8代处理器，5.2mm窄边框，MX150显卡，指纹识别电源键
笔记本,http://detail.zol.com.cn/notebook_index/subcate16_list_1.html,华硕 U4100UQ系列 酷睿7代处理器，940MX性能级显卡，轻薄机身，指纹识别,酷睿7代处理器，940MX性能级显卡，轻薄机身，指纹识别
笔记本,http://detail.zol.com.cn/notebook_index/subcate16_list_1.html,华硕 A555系列 云端同步，美声大师音效技术，Splendid靓彩技术，酷凉散热技术,云端同步，美声大师音效技术，Splendid靓彩技术，酷凉散热技术
笔记本,http://detail.zol.com.cn/notebook_index/subcate16_list_1.html,华硕 X555系列 8系性能显卡，1T海量硬盘，酷冷散热，全尺寸键盘,8系性能显卡，1T海量硬盘，酷冷散热，全尺寸键盘
笔记本,http://detail.zol.com.cn/notebook_index/subcate16_list_1.html,苹果 新款Macbook Pro 13英寸系列 酷睿6代处理器，Touch Bar触控条，4个USB-C接口，支持雷电3,酷睿6代处理器，Touch Bar触控条，4个USB-C接口，支持雷电3
笔记本,http://detail.zol.com.cn/notebook_index/subcate16_list_1.html,华硕 N551系列 B＆O音效，Instant on快速唤醒，WebStorage网络存储，无缝背装分岛式键盘,B＆O音效，Instant on快速唤醒，WebStorage网络存储，无缝背装分岛式键盘
笔记本,http://detail.zol.com.cn/notebook_index/subcate16_list_1.html,华硕 W519L系列 简约大气机身，低能耗处理器，长效续航，入门级显卡,简约大气机身，低能耗处理器，长效续航，入门级显卡
笔记本,http://detail.zol.com.cn/notebook_index/subcate16_list_1.html,苹果 MacBook Air 13.3英寸（Skylake）系列 酷睿6代处理器，全尺寸背光键盘，Multi-Touch触控板，超长续航,酷睿6代处理器，全尺寸背光键盘，Multi-Touch触控板，超长续航
笔记本,http://detail.zol.com.cn/notebook_index/subcate16_list_1.html,联想 S41系列 酷睿5代双核处理器，2G性能独显，高触感巧克力键盘，杜比音效,酷睿5代双核处理器，2G性能独显，高触感巧克力键盘，杜比音效
笔记本,http://detail.zol.com.cn/notebook_index/subcate16_list_1.html,戴尔 Inspiron 灵越 燃7000系列（7460） Waves MaxxAudio音效，7mm全景微边框，拉丝铝合金工艺，高性能显卡,Waves MaxxAudio音效，7mm全景微边框，拉丝铝合金工艺，高性能显卡
笔记本,http://detail.zol.com.cn/notebook_index/subcate16_list_1.html,联想 小新 锐7000系列 酷睿7代处理器，720p摄像头，全尺寸键盘，GTX10系显卡,酷睿7代处理器，720p摄像头，全尺寸键盘，GTX10系显卡
